Id Linha Base,Timestamp,Horario,Fim de Semana,Sensor Comodo,Comodo,lig_desl_luz,lig_desl_aparelho,tempo_lig_luz,tempo_lig_aparelho,Id Atividade,Atividade
73,2019-05-27 11:54,11:54,False,20,Quarto 2,0,0,0.0,0.0,13,Pres quarto 2
73,2019-05-27 11:54,11:54,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
74,2019-05-27 11:57,11:57,False,15,Sala,0,0,0.0,0.0,6,Pres sala
74,2019-05-27 11:57,11:57,False,22,Corredor,0,0,0.0,0,15,Pres corredor
76,2019-05-27 12:04,12:04,False,18,Garagem,0,0,0.0,0,3,Entrada
76,2019-05-27 12:04,12:04,False,18,Garagem,0,0,0.0,0,4,Saida
76,2019-05-27 12:04,12:04,False,16,Cozinha,2,1,0.75,0.9642857142857143,5,Pres cozinha
76,2019-05-27 12:04,12:04,False,15,Sala,0,0,0.0,0.0,6,Pres sala
76,2019-05-27 12:04,12:04,False,17,Lavanderia,0,0,0.0,1.0,11,Lavar roupa
76,2019-05-27 12:04,12:04,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
76,2019-05-27 12:04,12:04,False,18,Garagem,0,0,0.0,0,16,Pres garagem
78,2019-05-27 12:10,12:10,False,18,Garagem,0,0,0.0,0,3,Entrada
78,2019-05-27 12:10,12:10,False,18,Garagem,0,0,0.0,0,4,Saida
78,2019-05-27 12:10,12:10,False,15,Sala,0,0,0.0,0.0,6,Pres sala
78,2019-05-27 12:10,12:10,False,17,Lavanderia,0,0,0.0,1.0,11,Lavar roupa
78,2019-05-27 12:10,12:10,False,20,Quarto 2,1,0,0.8,0.0,13,Pres quarto 2
78,2019-05-27 12:10,12:10,False,18,Garagem,0,0,0.0,0,16,Pres garagem
81,2019-05-27 12:19,12:19,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
81,2019-05-27 12:19,12:19,False,22,Corredor,0,0,0.0,0,15,Pres corredor
82,2019-05-27 12:22,12:22,False,16,Cozinha,1,0,0.9545454545454546,1.0,10,Cozinhar
83,2019-05-27 12:28,12:28,False,18,Garagem,0,0,0.0,0,3,Entrada
83,2019-05-27 12:28,12:28,False,18,Garagem,0,0,0.0,0,4,Saida
83,2019-05-27 12:28,12:28,False,15,Sala,0,0,0.0,0.0,6,Pres sala
83,2019-05-27 12:28,12:28,False,16,Cozinha,1,0,0.9523809523809523,1.0,10,Cozinhar
83,2019-05-27 12:28,12:28,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
83,2019-05-27 12:28,12:28,False,22,Corredor,0,0,0.0,0,15,Pres corredor
83,2019-05-27 12:28,12:28,False,18,Garagem,0,0,0.0,0,16,Pres garagem
85,2019-05-27 12:35,12:35,False,18,Garagem,0,0,0.0,0,3,Entrada
85,2019-05-27 12:35,12:35,False,18,Garagem,0,0,0.0,0,4,Saida
85,2019-05-27 12:35,12:35,False,15,Sala,0,0,0.0,0.0,6,Pres sala
85,2019-05-27 12:35,12:35,False,17,Lavanderia,0,0,0.0,1.0,11,Lavar roupa
85,2019-05-27 12:35,12:35,False,18,Garagem,0,0,0.0,0,16,Pres garagem
87,2019-05-27 12:44,12:44,False,15,Sala,0,0,0.0,0.0,6,Pres sala
87,2019-05-27 12:44,12:44,False,16,Cozinha,1,0,0.9411764705882353,1.0,10,Cozinhar
87,2019-05-27 12:44,12:44,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
89,2019-05-27 12:53,12:53,False,15,Sala,0,0,0.0,0.0,6,Pres sala
89,2019-05-27 12:53,12:53,False,16,Cozinha,1,0,0.9333333333333333,1.0,10,Cozinhar
89,2019-05-27 12:53,12:53,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
89,2019-05-27 12:53,12:53,False,22,Corredor,0,0,0.0,0,15,Pres corredor
