Sensor,Timestamp
luz_garagem OFF,"""2019-04-14 17:41"""
luz_corredor OFF,"""2019-04-14 17:41"""
pres_garagem,"""2019-04-14 17:49"""
pres_garagem,"""2019-04-14 17:52"""
pres_sala,"""2019-04-14 17:56"""
pres_sala,"""2019-04-14 18:04"""
pres_garagem,"""2019-04-14 18:04"""
pres_garagem,"""2019-04-14 18:06"""
pres_sala,"""2019-04-14 18:08"""
pres_garagem,"""2019-04-14 18:08"""
pres_sala,"""2019-04-14 18:10"""
pres_garagem,"""2019-04-14 18:10"""
pres_sala,"""2019-04-14 18:12"""
pres_garagem,"""2019-04-14 18:12"""
pres_sala,"""2019-04-14 18:15"""
pres_garagem,"""2019-04-14 18:15"""
pres_sala,"""2019-04-14 18:17"""
pres_cozinha,"""2019-04-14 18:17"""
pres_garagem,"""2019-04-14 18:17"""
luz_cozinha ON,"""2019-04-14 18:19"""
pres_sala,"""2019-04-14 18:19"""
pres_cozinha,"""2019-04-14 18:19"""
pres_sala,"""2019-04-14 18:21"""
pres_cozinha,"""2019-04-14 18:21"""
pres_sala,"""2019-04-14 18:23"""
pres_cozinha,"""2019-04-14 18:23"""
pres_garagem,"""2019-04-14 18:23"""
pres_cozinha,"""2019-04-14 18:25"""
pres_sala,"""2019-04-14 18:27"""
pres_cozinha,"""2019-04-14 18:27"""
pres_sala,"""2019-04-14 18:29"""
pres_cozinha,"""2019-04-14 18:29"""
pres_lavanderia,"""2019-04-14 18:29"""
pres_garagem,"""2019-04-14 18:29"""
pres_cobertura,"""2019-04-14 18:29"""
pres_corredor,"""2019-04-14 18:29"""
pres_quarto3,"""2019-04-14 18:29"""
luz_lavanderia ON,"""2019-04-14 18:35"""
luz_quarto1 ON,"""2019-04-14 18:35"""
luz_quarto3 ON,"""2019-04-14 18:35"""
pres_sala,"""2019-04-14 18:35"""
pres_cozinha,"""2019-04-14 18:35"""
pres_lavanderia,"""2019-04-14 18:35"""
pres_garagem,"""2019-04-14 18:35"""
pres_quarto2,"""2019-04-14 18:35"""
pres_quarto3,"""2019-04-14 18:35"""
luz_quarto1 OFF,"""2019-04-14 18:44"""
luz_corredor ON,"""2019-04-14 18:44"""
luz_quarto3 OFF,"""2019-04-14 18:44"""
pres_sala,"""2019-04-14 18:44"""
pres_quarto3,"""2019-04-14 18:44"""
pres_sala,"""2019-04-14 18:46"""
pres_quarto3,"""2019-04-14 18:46"""
pres_sala,"""2019-04-14 18:48"""
pres_cozinha,"""2019-04-14 18:48"""
pres_garagem,"""2019-04-14 18:48"""
pres_quarto2,"""2019-04-14 18:48"""
pres_quarto3,"""2019-04-14 18:48"""
luz_quarto1 ON,"""2019-04-14 18:50"""
pres_sala,"""2019-04-14 18:50"""
pres_cozinha,"""2019-04-14 18:50"""
pres_quarto2,"""2019-04-14 18:50"""
pres_sala,"""2019-04-14 18:52"""
pres_cozinha,"""2019-04-14 18:52"""
pres_lavanderia,"""2019-04-14 18:52"""
pres_garagem,"""2019-04-14 18:52"""
pres_quarto2,"""2019-04-14 18:52"""
pres_cobertura,"""2019-04-14 18:52"""
pres_corredor,"""2019-04-14 18:52"""
pres_quarto3,"""2019-04-14 18:52"""
luz_garagem ON,"""2019-04-14 18:57"""
luz_quarto1 OFF,"""2019-04-14 18:57"""
luz_corredor OFF,"""2019-04-14 18:57"""
luz_banho ON,"""2019-04-14 18:57"""
pres_sala,"""2019-04-14 18:57"""
pres_lavanderia,"""2019-04-14 18:57"""
pres_garagem,"""2019-04-14 18:57"""
pres_corredor,"""2019-04-14 18:57"""
pres_quarto3,"""2019-04-14 18:57"""
pres_sala,"""2019-04-14 18:59"""
pres_cozinha,"""2019-04-14 18:59"""
pres_lavanderia,"""2019-04-14 18:59"""
pres_garagem,"""2019-04-14 18:59"""
pres_quarto2,"""2019-04-14 18:59"""
pres_corredor,"""2019-04-14 18:59"""
pres_quarto3,"""2019-04-14 18:59"""
luz_quarto2 ON,"""2019-04-14 19:01"""
luz_corredor ON,"""2019-04-14 19:01"""
pres_sala,"""2019-04-14 19:01"""
pres_cozinha,"""2019-04-14 19:01"""
pres_quarto2,"""2019-04-14 19:01"""
pres_quarto3,"""2019-04-14 19:01"""
luz_garagem OFF,"""2019-04-14 19:03"""
pres_quarto2,"""2019-04-14 19:03"""
pres_sala,"""2019-04-14 19:05"""
pres_cozinha,"""2019-04-14 19:05"""
pres_lavanderia,"""2019-04-14 19:05"""
pres_quarto2,"""2019-04-14 19:05"""
pres_corredor,"""2019-04-14 19:05"""
pres_quarto3,"""2019-04-14 19:05"""
luz_banho OFF,"""2019-04-14 19:07"""
pres_sala,"""2019-04-14 19:07"""
pres_cozinha,"""2019-04-14 19:07"""
pres_lavanderia,"""2019-04-14 19:07"""
pres_quarto2,"""2019-04-14 19:07"""
