Id Linha Base,Timestamp,Sensor Comodo,Comodo,Id Atividade,Atividade
110,2019-05-27 14:09,22,Corredor,15,Pres corredor
110,2019-05-27 14:09,23,Quarto 3,14,Pres quarto 3
111,2019-05-27 14:12,15,Sala,6,Pres sala
111,2019-05-27 14:12,17,Lavanderia,12,Pres lavanderia
112,2019-05-27 14:15,18,Garagem,3,Entrada
112,2019-05-27 14:15,18,Garagem,4,Saida
112,2019-05-27 14:15,18,Garagem,16,Pres garagem
114,2019-05-27 14:21,15,Sala,6,Pres sala
115,2019-05-27 14:24,23,Quarto 3,14,Pres quarto 3
116,2019-05-27 14:28,16,Cozinha,5,Pres cozinha
116,2019-05-27 14:28,18,Garagem,3,Entrada
116,2019-05-27 14:28,18,Garagem,4,Saida
116,2019-05-27 14:28,18,Garagem,16,Pres garagem
116,2019-05-27 14:28,22,Corredor,15,Pres corredor
119,2019-05-27 14:40,16,Cozinha,5,Pres cozinha
119,2019-05-27 14:40,18,Garagem,3,Entrada
119,2019-05-27 14:40,18,Garagem,4,Saida
119,2019-05-27 14:40,18,Garagem,16,Pres garagem
119,2019-05-27 14:40,23,Quarto 3,14,Pres quarto 3
120,2019-05-27 14:43,15,Sala,6,Pres sala
120,2019-05-27 14:43,22,Corredor,15,Pres corredor
121,2019-05-27 14:46,18,Garagem,3,Entrada
121,2019-05-27 14:46,18,Garagem,4,Saida
121,2019-05-27 14:46,18,Garagem,16,Pres garagem
122,2019-05-27 14:49,15,Sala,6,Pres sala
122,2019-05-27 14:49,16,Cozinha,5,Pres cozinha
123,2019-05-27 14:53,18,Garagem,3,Entrada
123,2019-05-27 14:53,18,Garagem,4,Saida
123,2019-05-27 14:53,18,Garagem,16,Pres garagem
123,2019-05-27 14:53,22,Corredor,15,Pres corredor
124,2019-05-27 14:56,23,Quarto 3,14,Pres quarto 3
126,2019-05-27 15:05,18,Garagem,3,Entrada
126,2019-05-27 15:05,18,Garagem,4,Saida
126,2019-05-27 15:05,18,Garagem,16,Pres garagem
128,2019-05-27 15:12,15,Sala,6,Pres sala
128,2019-05-27 15:12,17,Lavanderia,12,Pres lavanderia
129,2019-05-27 15:15,16,Cozinha,5,Pres cozinha
130,2019-05-27 15:24,16,Cozinha,5,Pres cozinha
130,2019-05-27 15:24,20,Quarto 2,13,Pres quarto 2
130,2019-05-27 15:24,22,Corredor,15,Pres corredor
130,2019-05-27 15:24,23,Quarto 3,14,Pres quarto 3
132,2019-05-27 15:30,23,Quarto 3,14,Pres quarto 3
133,2019-05-27 15:33,22,Corredor,15,Pres corredor
134,2019-05-27 15:36,20,Quarto 2,13,Pres quarto 2
135,2019-05-27 15:40,22,Corredor,15,Pres corredor
135,2019-05-27 15:40,23,Quarto 3,14,Pres quarto 3
137,2019-05-27 15:46,15,Sala,6,Pres sala
137,2019-05-27 15:46,16,Cozinha,5,Pres cozinha
137,2019-05-27 15:46,22,Corredor,15,Pres corredor
139,2019-05-27 15:52,20,Quarto 2,13,Pres quarto 2
139,2019-05-27 15:52,22,Corredor,15,Pres corredor
139,2019-05-27 15:52,23,Quarto 3,14,Pres quarto 3
141,2019-05-27 15:58,22,Corredor,15,Pres corredor
142,2019-05-27 16:05,15,Sala,6,Pres sala
142,2019-05-27 16:05,16,Cozinha,5,Pres cozinha
142,2019-05-27 16:05,17,Lavanderia,12,Pres lavanderia
143,2019-05-27 16:08,18,Garagem,3,Entrada
143,2019-05-27 16:08,18,Garagem,4,Saida
143,2019-05-27 16:08,18,Garagem,16,Pres garagem
146,2019-05-27 16:20,16,Cozinha,10,Cozinhar
146,2019-05-27 16:20,17,Lavanderia,12,Pres lavanderia
146,2019-05-27 16:20,22,Corredor,15,Pres corredor
147,2019-05-27 16:23,18,Garagem,3,Entrada
147,2019-05-27 16:23,18,Garagem,4,Saida
147,2019-05-27 16:23,18,Garagem,16,Pres garagem
149,2019-05-27 16:30,18,Garagem,3,Entrada
149,2019-05-27 16:30,18,Garagem,4,Saida
149,2019-05-27 16:30,18,Garagem,16,Pres garagem
151,2019-05-27 16:36,16,Cozinha,10,Cozinhar
153,2019-05-27 16:45,16,Cozinha,10,Cozinhar
157,2019-05-27 16:58,15,Sala,6,Pres sala
157,2019-05-27 16:58,16,Cozinha,10,Cozinhar
157,2019-05-27 16:58,17,Lavanderia,12,Pres lavanderia
157,2019-05-27 16:58,18,Garagem,3,Entrada
157,2019-05-27 16:58,18,Garagem,4,Saida
157,2019-05-27 16:58,18,Garagem,16,Pres garagem
163,2019-05-27 17:17,15,Sala,6,Pres sala
163,2019-05-27 17:17,16,Cozinha,10,Cozinhar
163,2019-05-27 17:17,17,Lavanderia,12,Pres lavanderia
163,2019-05-27 17:17,18,Garagem,3,Entrada
163,2019-05-27 17:17,18,Garagem,4,Saida
163,2019-05-27 17:17,18,Garagem,16,Pres garagem
168,2019-05-27 17:32,18,Garagem,3,Entrada
168,2019-05-27 17:32,18,Garagem,4,Saida
168,2019-05-27 17:32,18,Garagem,16,Pres garagem
169,2019-05-27 17:39,15,Sala,6,Pres sala
169,2019-05-27 17:39,16,Cozinha,10,Cozinhar
169,2019-05-27 17:39,17,Lavanderia,12,Pres lavanderia
173,2019-05-27 17:51,16,Cozinha,10,Cozinhar
177,2019-05-27 18:04,18,Garagem,3,Entrada
177,2019-05-27 18:04,18,Garagem,4,Saida
177,2019-05-27 18:04,18,Garagem,16,Pres garagem
177,2019-05-27 18:04,22,Corredor,15,Pres corredor
178,2019-05-27 18:07,16,Cozinha,10,Cozinhar
178,2019-05-27 18:07,17,Lavanderia,12,Pres lavanderia
180,2019-05-27 18:13,17,Lavanderia,12,Pres lavanderia
180,2019-05-27 18:13,18,Garagem,3,Entrada
180,2019-05-27 18:13,18,Garagem,4,Saida
180,2019-05-27 18:13,18,Garagem,16,Pres garagem
183,2019-05-27 18:26,16,Cozinha,10,Cozinhar
185,2019-05-27 18:32,15,Sala,6,Pres sala
186,2019-05-27 18:35,17,Lavanderia,12,Pres lavanderia
187,2019-05-27 18:38,16,Cozinha,10,Cozinhar
189,2019-05-27 18:44,13,Banho,9,Banho aceso
189,2019-05-27 18:44,18,Garagem,3,Entrada
189,2019-05-27 18:44,18,Garagem,4,Saida
189,2019-05-27 18:44,18,Garagem,16,Pres garagem
189,2019-05-27 18:44,22,Corredor,15,Pres corredor
189,2019-05-27 18:44,23,Quarto 3,14,Pres quarto 3
192,2019-05-27 18:56,15,Sala,6,Pres sala
192,2019-05-27 18:56,16,Cozinha,10,Cozinhar
192,2019-05-27 18:56,17,Lavanderia,12,Pres lavanderia
192,2019-05-27 18:56,22,Corredor,15,Pres corredor
192,2019-05-27 18:56,23,Quarto 3,14,Pres quarto 3
194,2019-05-27 19:02,18,Garagem,3,Entrada
194,2019-05-27 19:02,18,Garagem,4,Saida
194,2019-05-27 19:02,18,Garagem,16,Pres garagem
196,2019-05-27 19:09,23,Quarto 3,14,Pres quarto 3
198,2019-05-27 19:15,16,Cozinha,10,Cozinhar
202,2019-05-27 19:28,23,Quarto 3,14,Pres quarto 3
203,2019-05-27 19:31,16,Cozinha,10,Cozinhar
205,2019-05-27 19:37,16,Cozinha,10,Cozinhar
207,2019-05-27 19:43,15,Sala,6,Pres sala
207,2019-05-27 19:43,16,Cozinha,10,Cozinhar
207,2019-05-27 19:43,18,Garagem,3,Entrada
207,2019-05-27 19:43,18,Garagem,4,Saida
207,2019-05-27 19:43,18,Garagem,16,Pres garagem
208,2019-05-27 19:46,22,Corredor,15,Pres corredor
212,2019-05-27 19:59,15,Sala,6,Pres sala
212,2019-05-27 19:59,16,Cozinha,10,Cozinhar
212,2019-05-27 19:59,22,Corredor,15,Pres corredor
215,2019-05-27 20:08,18,Garagem,3,Entrada
215,2019-05-27 20:08,18,Garagem,4,Saida
215,2019-05-27 20:08,18,Garagem,16,Pres garagem
216,2019-05-27 20:11,13,Banho,9,Banho aceso
217,2019-05-27 20:15,15,Sala,6,Pres sala
217,2019-05-27 20:15,17,Lavanderia,12,Pres lavanderia
218,2019-05-27 20:18,16,Cozinha,10,Cozinhar
219,2019-05-27 20:21,20,Quarto 2,13,Pres quarto 2
219,2019-05-27 20:21,22,Corredor,15,Pres corredor
219,2019-05-27 20:21,23,Quarto 3,14,Pres quarto 3
221,2019-05-27 20:27,23,Quarto 3,14,Pres quarto 3
222,2019-05-27 20:30,22,Corredor,15,Pres corredor
223,2019-05-27 20:33,20,Quarto 2,13,Pres quarto 2
224,2019-05-27 20:36,22,Corredor,15,Pres corredor
224,2019-05-27 20:36,23,Quarto 3,14,Pres quarto 3
226,2019-05-27 20:43,15,Sala,6,Pres sala
226,2019-05-27 20:43,16,Cozinha,10,Cozinhar
226,2019-05-27 20:43,22,Corredor,15,Pres corredor
228,2019-05-27 20:49,20,Quarto 2,13,Pres quarto 2
228,2019-05-27 20:49,22,Corredor,15,Pres corredor
228,2019-05-27 20:49,23,Quarto 3,14,Pres quarto 3
229,2019-05-27 20:55,20,Quarto 2,13,Pres quarto 2
229,2019-05-27 20:55,23,Quarto 3,14,Pres quarto 3
230,2019-05-27 20:58,22,Corredor,15,Pres corredor
231,2019-05-27 21:01,15,Sala,6,Pres sala
231,2019-05-27 21:01,16,Cozinha,10,Cozinhar
231,2019-05-27 21:01,17,Lavanderia,12,Pres lavanderia
232,2019-05-27 21:05,18,Garagem,3,Entrada
232,2019-05-27 21:05,18,Garagem,4,Saida
232,2019-05-27 21:05,18,Garagem,16,Pres garagem
235,2019-05-27 21:17,22,Corredor,15,Pres corredor
235,2019-05-27 21:17,23,Quarto 3,14,Pres quarto 3
240,2019-05-27 21:32,16,Cozinha,5,Pres cozinha
240,2019-05-27 21:32,22,Corredor,15,Pres corredor
241,2019-05-27 21:36,23,Quarto 3,14,Pres quarto 3
242,2019-05-27 21:42,23,Quarto 3,14,Pres quarto 3
247,2019-05-27 22:01,23,Quarto 3,14,Pres quarto 3
249,2019-05-27 22:07,18,Garagem,3,Entrada
249,2019-05-27 22:07,18,Garagem,4,Saida
249,2019-05-27 22:07,18,Garagem,16,Pres garagem
250,2019-05-27 22:10,15,Sala,6,Pres sala
250,2019-05-27 22:10,16,Cozinha,5,Pres cozinha
252,2019-05-27 22:17,15,Sala,6,Pres sala
252,2019-05-27 22:17,17,Lavanderia,12,Pres lavanderia
253,2019-05-27 22:23,15,Sala,6,Pres sala
254,2019-05-27 22:26,16,Cozinha,5,Pres cozinha
254,2019-05-27 22:26,17,Lavanderia,12,Pres lavanderia
258,2019-05-27 22:42,16,Cozinha,5,Pres cozinha
258,2019-05-27 22:42,22,Corredor,15,Pres corredor
261,2019-05-27 22:51,22,Corredor,15,Pres corredor
262,2019-05-27 22:54,15,Sala,6,Pres sala
262,2019-05-27 22:54,16,Cozinha,5,Pres cozinha
263,2019-05-27 23:04,15,Sala,6,Pres sala
263,2019-05-27 23:04,16,Cozinha,5,Pres cozinha
263,2019-05-27 23:04,17,Lavanderia,12,Pres lavanderia
263,2019-05-27 23:04,22,Corredor,15,Pres corredor
266,2019-05-27 23:13,16,Cozinha,5,Pres cozinha
